,date,product_id,product_name,new_customer_count,sale_count,sale_revenue,refund_count,refund_amount,renewal_count,renewal_revenue
3181,2026-03-18,1006594,0DTE - Monthly,0,0,0,0,0,1,199
3182,2026-03-18,942495,Capitol Gains,0,1,99,0,0,0,0
3183,2026-03-18,964937,Delta Strike - Weekly,0,0,0,0,0,1,49
3184,2026-03-18,1044067,Fuse Trader - Monthly,1,0,0,0,0,0,0
3185,2026-03-18,1077724,Game Plan - Monthly,1,0,0,0,0,0,0
3186,2026-03-18,1071730,Project: M.N.S.,0,0,0,0,0,7,693
3187,2026-03-18,947647,Special Situations - Monthly,0,0,0,0,0,1,49
3188,2026-03-18,1045400,Ticker Highlight Show Premium,0,0,0,0,0,6,19.6
3189,2026-03-18,1057928,Ticker Highlight Show Premium,0,1,10,0,0,0,0
3190,2026-03-18,1059557,Ticker Highlight Show Premium,0,0,0,0,0,4,17
3191,2026-03-18,1017366,Trade to Close - Monthly,0,0,0,0,0,2,194
3192,2026-03-18,1035575,Trade to Close - Monthly,0,0,0,0,0,1,197
3193,2026-03-18,992134,Trade to Close - Trial - Monthly,0,1,197,0,0,1,197
3194,2026-03-18,937485,Trading Desk - Perpetual - Maintenance Fee,0,1,97,0,0,0,0
3195,2026-03-18,975207,Turbo Income - Monthly,0,0,0,0,0,1,199
